Year,Bank net interest margin (%),Bank noninterest income to total income (%),Bank overhead costs to total assets (%),"Bank return on assets (%, after tax)","Bank return on equity (%, after tax)",Bank Z-score,Boone indicator,Debit card (% age 15+),Credit card (% age 15+),Domestic credit to private sector (% of GDP),Nonbank financial institutions’ assets to GDP (%),Bank non-performing loans to gross loans (%),Bank cost to income ratio (%),Bank concentration (%),"Bank branches per 100,000 adults",Country
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
